"Nom","Type d'activité","Description"
"Burger","marche",""

"Nom","Type de repère","Description","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Précision (m)","Vitesse (m/s)","Durée"
"Point de cheminement 1","","Distance totale : 0,04 km (0,0 mi)
Durée totale : 00:59
Durée du déplacement : 00:40
Vitesse moyenne : 2,18 km/h (1,4 mi/h)
Vitesse moyenne de déplacement : 3,23 km/h (2,0 mi/h)
Vitesse max. : 5,69 km/h (3,5 mi/h)
Vitesse moyenne : 27:30 min/km (44:15 min/mi)
Allure moyenne : 18:34 min/km (29:53 min/mi)
Vitesse maximale : 10:32 min/km (16:58 min/mi)
Élévation max. : 107 m (350 pi)
Élévation min. : 97 m (320 pi)
Dénivelé : 107 m (350 pi)
Inclinaison max. : -10 %
Inclinaison min. : -63 %
Date d'enregistrement : 10/04/2014 12:33
","43.612998","3.869865","94.0","","11","","2014-04-10T10:34:39.901Z"
"Point de cheminement 2","","Distance totale : 0,09 km (0,1 mi)
Durée totale : 01:00
Durée du déplacement : 00:50
Vitesse moyenne : 5,65 km/h (3,5 mi/h)
Vitesse moyenne de déplacement : 6,69 km/h (4,2 mi/h)
Vitesse max. : 10,80 km/h (6,7 mi/h)
Vitesse moyenne : 10:38 min/km (17:06 min/mi)
Allure moyenne : 8:58 min/km (14:25 min/mi)
Vitesse maximale : 5:33 min/km (8:56 min/mi)
Élévation max. : 95 m (311 pi)
Élévation min. : 89 m (293 pi)
Dénivelé : 100 m (327 pi)
Inclinaison max. : 8 %
Inclinaison min. : -9 %
Date d'enregistrement : 10/04/2014 12:34
","43.612677","3.870921","96.9000015258789","128.0","9","1","2014-04-10T10:35:39.937Z"
"Point de cheminement 3","","Distance totale : 0,10 km (0,1 mi)
Durée totale : 00:59
Durée du déplacement : 00:55
Vitesse moyenne : 5,75 km/h (3,6 mi/h)
Vitesse moyenne de déplacement : 6,21 km/h (3,9 mi/h)
Vitesse max. : 6,21 km/h (3,9 mi/h)
Vitesse moyenne : 10:26 min/km (16:48 min/mi)
Allure moyenne : 9:40 min/km (15:33 min/mi)
Vitesse maximale : 9:40 min/km (15:33 min/mi)
Élévation max. : 97 m (318 pi)
Élévation min. : 93 m (304 pi)
Dénivelé : 98 m (321 pi)
Inclinaison max. : 1 %
Inclinaison min. : -12 %
Date d'enregistrement : 10/04/2014 12:35
","43.612579","3.871936","90.0999984741211","102.0","7","1.75","2014-04-10T10:36:35.478Z"
"Point de cheminement 4","","Distance totale : 0,07 km (0,0 mi)
Durée totale : 01:00
Durée du déplacement : 00:55
Vitesse moyenne : 3,98 km/h (2,5 mi/h)
Vitesse moyenne de déplacement : 4,31 km/h (2,7 mi/h)
Vitesse max. : 4,31 km/h (2,7 mi/h)
Vitesse moyenne : 15:05 min/km (24:16 min/mi)
Allure moyenne : 13:55 min/km (22:24 min/mi)
Vitesse maximale : 13:55 min/km (22:24 min/mi)
Élévation max. : 95 m (312 pi)
Élévation min. : 91 m (299 pi)
Dénivelé : 95 m (313 pi)
Inclinaison max. : 11 %
Inclinaison min. : 3 %
Date d'enregistrement : 10/04/2014 12:36
","43.612471","3.872701","97.5","77.0","12","0.75","2014-04-10T10:37:35.377Z"
"Point de cheminement 5","","Distance totale : 0,06 km (0,0 mi)
Durée totale : 00:59
Durée du déplacement : 00:40
Vitesse moyenne : 3,71 km/h (2,3 mi/h)
Vitesse moyenne de déplacement : 5,45 km/h (3,4 mi/h)
Vitesse max. : 5,45 km/h (3,4 mi/h)
Vitesse moyenne : 16:10 min/km (26:01 min/mi)
Allure moyenne : 11:00 min/km (17:42 min/mi)
Vitesse maximale : 11:00 min/km (17:42 min/mi)
Élévation max. : 99 m (325 pi)
Élévation min. : 97 m (317 pi)
Dénivelé : 99 m (325 pi)
Inclinaison max. : -2 %
Inclinaison min. : -2 %
Date d'enregistrement : 10/04/2014 12:37
","43.612329","3.873488","95.69999694824219","113.0","14","1.25","2014-04-10T10:38:20.798Z"
