"objectId","objectName","Activity","Description"
"131683","Christophe 2014 04 15 - 18 Rue Paul Brousse","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.607434","3.873833","79.14498138427734","289.0","0.0","2014-04-15T06:51:03.418Z"
"2","43.607449","3.873819","79.17411804199219","266.0","0.0","2014-04-15T06:51:08.440Z"
"3","43.607461","3.873868","79.19331359863281","274.0","0.0","2014-04-15T06:51:14.163Z"
"4","43.607463","3.873873","79.29149627685547","274.0","0.0","2014-04-15T06:51:19.418Z"
"5","43.607489","3.873842","79.7029800415039","329.0","0.0","2014-04-15T06:51:25.436Z"
"6","43.607544","3.87379","80.5002670288086","327.0","1.5857","2014-04-15T06:51:30.443Z"
"7","43.607592","3.873721","81.48033142089844","315.0","1.3744","2014-04-15T06:51:36.410Z
"8","43.607613","3.873694","81.81856536865234","319.0","1.3597","2014-04-15T06:51:38.722Z
"9","43.607621","3.87363","82.15860748291016","289.0","1.2454","2014-04-15T06:51:43.724Z
"10","43.607662","3.873547","82.39511108398438","321.0","1.2845","2014-04-15T06:51:48.777Z
"11","43.607798","3.873438","82.7690200805664","329.0","1.4654","2014-04-15T06:51:58.854Z"
"12","43.607884","3.873419","83.86587524414063","321.0","1.4859","2014-04-15T06:52:03.892Z"
"13","43.607962","3.873386","84.48909759521484","323.0","0.0","2014-04-15T06:52:08.914Z"
"14","43.608042","3.873327","84.35671997070313","299.0","1.5003","2014-04-15T06:52:13.962Z"
"15","43.608094","3.873248","84.61815643310547","318.0","1.6375","2014-04-15T06:52:18.965Z"
"16","43.608176","3.873204","85.2728271484375","308.0","1.6431","2014-04-15T06:52:23.995Z"
"17","43.608232","3.873171","86.2081069946289","325.0","1.6388","2014-04-15T06:52:29.062Z"
"18","43.608308","3.873147","87.48493957519531","1.0","1.6741","2014-04-15T06:52:34.152Z"
"19","43.608395","3.873107","88.39936065673828","311.0","1.5996","2014-04-15T06:52:38.633Z"
"20","43.60846","3.873088","89.4723129272461","48.0","1.4967","2014-04-15T06:52:43.763Z"
"21","43.608493","3.873137","90.4063720703125","51.0","1.3398","2014-04-15T06:52:48.809Z"
"22","43.608573","3.873237","92.05076599121094","34.0","1.6056","2014-04-15T06:52:53.863Z"
"23","43.608641","3.873339","93.68305206298828","39.0","1.603","2014-04-15T06:52:58.866Z"
"24","43.608357","3.872246","105.36984252929688","253.0","1.5583","2014-04-15T06:56:54.541Z"
"25","43.608253","3.872123","104.6297378540039","223.0","1.8422","2014-04-15T06:56:59.676Z"
"26","43.608187","3.871986","103.82221221923828","225.0","2.1131","2014-04-15T06:57:04.701Z"
"27","43.608117","3.871847","103.27106475830078","225.0","2.3795","2014-04-15T06:57:09.789Z"
