"objectId","objectName","type","Description"
"131682","Christophe 15/04/2014 18:45","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613083","3.86933","76.57095336914063","0.0","1.3469","2014-04-15T16:46:43.645Z"
"2","43.613067","3.86949","71.21251678466797","117.0","0.0","2014-04-15T16:46:54.903Z"
"3","43.613077","3.869589","74.67860412597656","83.0","1.2865","2014-04-15T16:47:00.884Z"
"4","43.613071","3.869658","73.57810974121094","87.0","0.0","2014-04-15T16:47:05.906Z"
"5","43.613023","3.869707","73.77812194824219","104.0","0.0","2014-04-15T16:47:11.929Z"
"6","43.612996","3.869766","74.25577545166016","177.0","0.0","2014-04-15T16:47:16.952Z"
"7","43.613025","3.869906","75.28224182128906","62.0","1.1639","2014-04-15T16:47:22.243Z"
"8","43.613014","3.870059","75.76815795898438","79.0","0.0","2014-04-15T16:47:26.902Z"
"9","43.612993","3.870187","75.67247009277344","93.0","1.3913","2014-04-15T16:47:33.052Z"
"10","43.612959","3.870315","76.11993408203125","104.0","0.0","2014-04-15T16:47:38.121Z"
"11","43.612903","3.870405","76.3809585571289","111.0","1.4418","2014-04-15T16:47:43.153Z"
"12","43.612857","3.870472","76.85292053222656","121.0","0.0","2014-04-15T16:47:48.181Z"
"13","43.612833","3.870553","77.46895599365234","95.0","1.4126","2014-04-15T16:47:53.184Z"
"14","43.612819","3.870623","78.11454772949219","126.0","1.4247","2014-04-15T16:47:58.237Z"
"15","43.612816","3.870706","78.32730102539063","100.0","0.0","2014-04-15T16:48:03.241Z"
"16","43.612809","3.870788","78.59503173828125","94.0","1.3149","2014-04-15T16:48:08.280Z"
"17","43.612784","3.870887","79.07980346679688","129.0","1.3977","2014-04-15T16:48:13.303Z"
"18","43.612753","3.870997","79.54907989501953","109.0","1.437","2014-04-15T16:48:18.834Z"
"19","43.612719","3.87108","80.05862426757813","104.0","1.4277","2014-04-15T16:48:23.914Z"
"20","43.612718","3.871164","80.75643920898438","59.0","1.3969","2014-04-15T16:48:29.918Z"
"21","43.612717","3.87121","80.95951080322266","73.0","0.0","2014-04-15T16:48:32.981Z"
"22","43.612683","3.871353","81.4870376586914","104.0","1.3033","2014-04-15T16:48:38.060Z"
"23","43.612633","3.871436","82.12971496582031","117.0","0.0","2014-04-15T16:48:43.072Z"
"24","43.61263","3.871513","82.41688537597656","92.0","1.3917","2014-04-15T16:48:48.132Z"
"25","43.612611","3.871602","82.5689926147461","99.0","1.5551","2014-04-15T16:48:53.196Z"
"26","43.612646","3.871684","82.3590316772461","115.0","1.6244","2014-04-15T16:48:58.400Z"
"27","43.612689","3.871778","81.80068969726563","29.0","1.4295","2014-04-15T16:49:03.917Z"
"28","43.61273","3.871861","81.42898559570313","45.0","0.0","2014-04-15T16:49:09.912Z"
"29","43.612779","3.871928","81.45982360839844","59.0","1.3161","2014-04-15T16:49:15.935Z"
"30","43.612802","3.872065","81.73907470703125","98.0","1.4315","2014-04-15T16:49:21.918Z"
"31","43.612801","3.872171","82.29998779296875","34.0","1.4923","2014-04-15T16:49:26.922Z"
"32","43.612743","3.872245","82.93205261230469","110.0","0.0","2014-04-15T16:49:31.922Z"
"33","43.612711","3.872265","83.06656646728516","94.0","0.0","2014-04-15T16:49:33.025Z"
"34","43.612628","3.872314","84.06492614746094","101.0","0.0","2014-04-15T16:49:38.975Z"
"35","43.612602","3.872326","84.18304443359375","101.0","0.0","2014-04-15T16:49:43.924Z"
"36","43.612588","3.872354","84.29804229736328","101.0","0.0","2014-04-15T16:49:48.911Z"
"37","43.612543","3.872395","84.63011169433594","123.0","0.7215","2014-04-15T16:49:58.930Z"
"38","43.612448","3.872396","85.00967407226563","205.0","0.0","2014-04-15T16:50:04.943Z"
"39","43.612348","3.8724","85.60658264160156","182.0","1.2872","2014-04-15T16:50:09.931Z"
"40","43.612208","3.872346","86.34764099121094","200.0","0.0","2014-04-15T16:50:14.930Z"
"41","43.612093","3.872338","87.33737182617188","190.0","0.0","2014-04-15T16:50:20.922Z"
"42","43.611983","3.87236","88.51071166992188","181.0","0.0","2014-04-15T16:50:25.924Z"
"43","43.611914","3.872365","89.66323852539063","174.0","1.2396","2014-04-15T16:50:31.926Z"
"44","43.611898","3.872363","89.81851196289063","180.0","1.2763","2014-04-15T16:50:32.995Z"
"45","43.611822","3.872344","90.6292724609375","205.0","0.0","2014-04-15T16:50:38.634Z"
"46","43.611752","3.872325","91.54143524169922","205.0","0.0","2014-04-15T16:50:43.667Z"
"47","43.611673","3.872354","92.78382873535156","183.0","0.0","2014-04-15T16:50:48.785Z"
"48","43.611592","3.872349","93.6388931274414","208.0","1.4171","2014-04-15T16:50:53.880Z"
"49","43.611548","3.872343","94.20592498779297","229.0","0.0","2014-04-15T16:50:58.924Z"
