"objectId","objectName","type","Description"
"131670","Christophe 3 Rue du Faubourg du Courreau","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée
"1","43.608209","3.872714","88.31275177001953","0.0","0.0","2014-04-17T06:48:03.861Z"
"2","43.60829","3.872508","87.2503662109375","0.0","0.0","2014-04-17T06:48:14.874Z"
"3","43.60829","3.872508","80.62966918945313","0.0","0.0","2014-04-17T06:48:20.819Z"
"4","43.608214","3.872314","81.37409210205078","0.0","0.0","2014-04-17T06:48:25.815Z"
"5","43.608146","3.872156","81.04666900634766","250.0","1.1993","2014-04-17T06:48:30.836Z"
"6","43.608105","3.872041","81.5528564453125","251.0","1.2045","2014-04-17T06:48:36.836Z"
"7","43.608137","3.871909","82.60872650146484","303.0","1.3138","2014-04-17T06:48:42.823Z"
"8","43.608158","3.871822","83.4428939819336","304.0","1.4097","2014-04-17T06:48:46.861Z"
"9","43.608191","3.871706","84.02424621582031","298.0","0.0","2014-04-17T06:48:52.030Z"
"10","43.608725","3.868181","74.96499633789063","289.0","1.7652","2014-04-17T06:51:17.181Z"
"11","43.608789","3.868061","74.5528335571289","284.0","1.5708","2014-04-17T06:51:22.219Z"
"12","43.608827","3.867952","74.14161682128906","288.0","1.7773","2014-04-17T06:51:27.385Z"
"13","43.608851","3.86788","73.87068176269531","279.0","1.4534","2014-04-17T06:51:32.469Z"
"14","43.608872","3.867788","73.9990234375","272.0","1.471","2014-04-17T06:51:37.520Z"
"15","43.608893","3.867657","74.44633483886719","296.0","1.7069","2014-04-17T06:51:42.704Z"
"16","43.608928","3.867544","74.28377532958984","302.0","1.7761","2014-04-17T06:51:46.974Z"
"17","43.608966","3.867438","74.20372772216797","287.0","1.733","2014-04-17T06:51:52.052Z"
"18","43.609006","3.86734","74.1551284790039","293.0","0.0","2014-04-17T06:51:57.092Z"
"19","43.609028","3.867234","74.44288635253906","299.0","1.608","2014-04-17T06:52:02.111Z"
"20","43.609054","3.867129","74.65312194824219","282.0","1.5004","2014-04-17T06:52:07.224Z"
"21","43.609084","3.86702","75.83059692382813","300.0","1.3593","2014-04-17T06:52:12.953Z"
"22","43.60914","3.866922","77.10380554199219","278.0","1.5849","2014-04-17T06:52:18.892Z"
"23","43.609183","3.866834","77.87454223632813","282.0","0.0","2014-04-17T06:52:24.926Z"
