"objectId","objectName","type","Description"
"131681","Olivier Avenue du Maréchal Leclerc","cyclisme",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.591306","3.889046","77.79998779296875","290.0","1.4387","2014-04-16T11:41:19.698Z"
"2","43.591464","3.889347","75.5","309.0","0.9383","2014-04-16T11:41:24.738Z"
"3","43.591444","3.889366","70.9000244140625","6.0","0.6255","2014-04-16T11:41:29.767Z"
"4","43.59144","3.889348","69.29998779296875","241.0","1.6888","2014-04-16T11:41:39.824Z"
"5","43.591318","3.889349","67.0999755859375","149.0","3.6904","2014-04-16T11:41:44.873Z"
"6","43.591271","3.889589","66.5","81.0","4.3785","2014-04-16T11:41:50.029Z"
"7","43.591442","3.889742","65.79998779296875","7.0","4.6912","2014-04-16T11:41:55.365Z"
"8","43.591673","3.889739","65.4000244140625","358.0","5.004","2014-04-16T11:42:00.398Z"
"9","43.591944","3.889719","65.9000244140625","358.0","4.7538","2014-04-16T11:42:06.372Z"
"10","43.592032","3.889715","65.5999755859375","359.0","4.6912","2014-04-16T11:42:09.031Z"
"11","43.592252","3.889704","65.4000244140625","359.0","4.8163","2014-04-16T11:42:14.175Z"
"12","43.592523","3.889688","64.29998779296875","356.0","4.6287","2014-04-16T11:42:19.382Z"
"13","43.592707","3.889667","64.29998779296875","354.0","4.0032","2014-04-16T11:42:24.414Z"
"14","43.592915","3.88962","64.4000244140625","345.0","3.8781","2014-04-16T11:42:30.370Z"
"15","43.593083","3.889593","64.4000244140625","23.0","3.4402","2014-04-16T11:42:35.403Z"
"16","43.593302","3.889554","65.9000244140625","333.0","4.5036","2014-04-16T11:42:41.344Z"
"17","43.593494","3.889425","66.4000244140625","333.0","4.7538","2014-04-16T11:42:46.402Z"
"18","43.593733","3.889267","67.0","338.0","4.8163","2014-04-16T11:42:52.341Z"
"19","43.593937","3.889143","67.29998779296875","336.0","4.7538","2014-04-16T11:42:57.383Z"
"20","43.594158","3.889005","67.0999755859375","337.0","4.0032","2014-04-16T11:43:03.318Z"
"21","43.594325","3.888894","67.0","333.0","4.0658","2014-04-16T11:43:08.369Z"
"22","43.594325","3.888894","67.0","333.0","4.0658","2014-04-16T11:43:09.035Z"
"23","43.594497","3.888784","67.29998779296875","331.0","4.0658","2014-04-16T11:43:14.065Z"
"24","43.594672","3.888671","67.79998779296875","339.0","4.1908","2014-04-16T11:43:19.072Z"
"25","43.594852","3.888551","68.79998779296875","328.0","4.2534","2014-04-16T11:43:24.095Z"
"26","43.595016","3.88843","69.29998779296875","333.0","3.6279","2014-04-16T11:43:29.118Z"
"27","43.595149","3.888334","69.5","336.0","3.1275","2014-04-16T11:43:34.143Z"
"28","43.595175","3.888308","70.5","0.0","0.0","2014-04-16T11:43:39.177Z"
"29","43.595175","3.888308","70.5","0.0","0.0","2014-04-16T11:43:44.214Z"
"30","43.595214","3.888268","72.0999755859375","339.0","2.6897","2014-04-16T11:43:49.245Z"
"31","43.595344","3.888169","72.0","330.0","3.753","2014-04-16T11:43:54.274Z"
"32","43.59551","3.888055","72.9000244140625","337.0","4.0658","2014-04-16T11:43:59.316Z"
"33","43.595703","3.887924","73.70001220703125","334.0","3.8781","2014-04-16T11:44:04.337Z"
"34","43.595832","3.887839","73.79998779296875","335.0","3.8781","2014-04-16T11:44:09.032Z"
"35","43.595989","3.887728","74.20001220703125","336.0","3.8781","2014-04-16T11:44:14.052Z"
"36","43.596153","3.88762","74.4000244140625","332.0","3.8156","2014-04-16T11:44:19.070Z"
"37","43.59631","3.887504","74.9000244140625","327.0","3.9406","2014-04-16T11:44:24.085Z"
"38","43.596468","3.887377","75.4000244140625","331.0","3.9406","2014-04-16T11:44:29.100Z"
"39","43.596621","3.887249","75.79998779296875","328.0","3.8781","2014-04-16T11:44:34.112Z"
"40","43.596774","3.887122","75.9000244140625","330.0","3.9406","2014-04-16T11:44:39.128Z"
"41","43.596914","3.887006","76.0999755859375","333.0","3.3777","2014-04-16T11:44:44.150Z"
"42","43.597042","3.886899","76.20001220703125","330.0","3.2526","2014-04-16T11:44:49.167Z"
"43","43.597169","3.886794","76.79998779296875","334.0","3.1901","2014-04-16T11:44:54.185Z"
"44","43.597288","3.886693","78.0","326.0","3.1275","2014-04-16T11:44:59.204Z"
"45","43.597407","3.88659","78.0999755859375","326.0","3.0649","2014-04-16T11:45:04.220Z"
