"objectId","objectName","Activity","Description"
"131680","Olivier3","cyclisme",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613081","3.868838","94.4000244140625","144.0","2.5646","2014-04-16T10:05:26.963Z"
"2","43.613077","3.869031","93.70001220703125","105.0","2.502","2014-04-16T10:05:31.979Z"
"3","43.613061","3.869199","97.0","102.0","2.6897","2014-04-16T10:05:37.001Z"
"4","43.613036","3.869383","100.5999755859375","94.0","3.4402","2014-04-16T10:05:42.016Z"
"5","43.613017","3.869625","100.5999755859375","108.0",,"3.6279","2014-04-16T10:05:47.032Z"
"6","43.612973","3.869836","100.9000244140625","112.0",,"3.1275","2014-04-16T10:05:52.169Z"
"7","43.612932","3.870049","101.29998779296875","105.0","3.0649","2014-04-16T10:05:57.403Z"
"8","43.6129","3.870243","100.5999755859375","101.0","4.5036","2014-04-16T10:06:01.875Z"
"9","43.612845","3.870451","99.9000244140625","106.0","3.3777","2014-04-16T10:06:06.892Z"
"10","43.612793","3.870649","100.79998779296875","116.0","3.3777","2014-04-16T10:06:11.921Z"
"11","43.612753","3.870827","100.5999755859375","105.0","3.0024","2014-04-16T10:06:16.953Z"
"12","43.612728","3.87098","100.4000244140625","107.0",".2518","2014-04-16T10:06:21.986Z"
"13","43.612684","3.871132","100.20001220703125","107.0","2.8773","2014-04-16T10:06:27.019Z"
"14","43.612625","3.8714","100.4000244140625","105.0","4.7538","2014-04-16T10:06:32.050Z"
"15","43.612588","3.871668","100.29998779296875","100.0","3.8781","2014-04-16T10:06:37.072Z"
"16","43.612551","3.871905","100.20001220703125","106.0","3.6279","2014-04-16T10:06:42.079Z"
"17","43.612505","3.87209","100.20001220703125","113.0","2.6271","2014-04-16T10:06:47.091Z"
"18","43.612484","3.872219","100.29998779296875","110.0","2.0016","2014-04-16T10:06:52.105Z"
"19","43.612438","3.872338","101.0999755859375","141.0","0.0","2014-04-16T10:06:57.395Z"
"20","43.612407","3.872356","101.79998779296875","150.0","2.1267","2014-04-16T10:07:01.881Z"
"21","43.612272","3.872367","102.20001220703125","177.0","3.0024","2014-04-16T10:07:06.906Z"
"22","43.612139","3.87236","103.5999755859375","183.0","2.5646","2014-04-16T10:07:11.927Z"
"23","43.612004","3.872349","103.5999755859375","183.0","2.9398","2014-04-16T10:07:16.947Z"
"24","43.611868","3.872319","103.4000244140625","184.0","3.2526","2014-04-16T10:07:21.965Z"
"25","43.611684","3.872293","102.70001220703125","185.0","4.6912","2014-04-16T10:07:26.988Z"
"26","43.611465","3.87227","102.5999755859375","184.0","4.8789","2014-04-16T10:07:32.008Z"
"27","43.61133","3.872257","102.5999755859375","185.0","4.9415","2014-04-16T10:07:37.023Z"
"28","43.610728","3.872195","100.5","176.0","6.0048","2014-04-16T10:07:47.037Z"
"29","43.610404","3.872284","98.20001220703125","169.0","6.1299","2014-04-16T10:07:52.387Z"
"30","43.610103","3.87235","98.0","171.0","5.6295","2014-04-16T10:07:58.346Z"
"31","43.60993","3.872392","97.29998779296875","171.0","6.6929","2014-04-16T10:08:01.888Z"
"32","43.609609","3.87247","97.4000244140625","167.0","6.943","2014-04-16T10:08:06.912Z"
"33","43.609304","3.872616","96.9000244140625","158.0","7.5686","2014-04-16T10:08:11.926Z"
"34","43.608874","3.872849","104.4000244140625","161.0","8.3191","2014-04-16T10:08:17.362Z"
"35","43.608531","3.873057","105.0999755859375","152.0","6.8179","2014-04-16T10:08:22.395Z"
"36","43.608233","3.873369","105.4000244140625","141.0","7.0681","2014-04-16T10:08:28.363Z"
