"objectId","objectName","type","Description"
"131671","Stade Philippides","marche","De travail à l'arrêt du tram"
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613307","3.868883","92.4000015258789","0.0","0.0","2014-04-22T16:30:39.909Z"
"2","43.613263","3.868841","97.0","0.0","0.0","2014-04-22T16:30:44.975Z"
"3","43.613239","3.868835","96.19999694824219","0.0","0.0","2014-04-22T16:30:49.995Z"
"4","43.613224","3.868796","93.9000015258789","283.0","0.0","2014-04-22T16:31:05.130Z"
"5","43.613234","3.868743","93.9000015258789","283.0","0.0","2014-04-22T16:31:10.187Z"
"6","43.613533","3.868216","81.19999694824219","53.0","0.0","2014-04-22T16:32:00.112Z"
"7","43.613826","3.868469","81.69999694824219","38.0","0.0","2014-04-22T16:32:20.054Z"
"8","43.613826","3.868469","81.69999694824219","38.0","0.0","2014-04-22T16:32:25.187Z"
"9","43.613875","3.868552","83.0","42.0","0.75","2014-04-22T16:32:30.214Z"
"10","43.613998","3.868722","84.0","45.0","1.25","2014-04-22T16:32:44.994Z"
"11","43.614532","3.869094","86.4000015258789","42.0","0.0","2014-04-22T16:33:25.312Z"
"12","43.614559","3.869129","86.4000015258789","42.0","0.0","2014-04-22T16:33:30.360Z"
"13","43.614634","3.869255","88.69999694824219","52.0","0.0","1.5","2014-04-22T16:33:36.960Z"
"14","43.614715","3.869416","82.69999694824219","35.0","0.0","2014-04-22T16:33:50.034Z"
"15","43.614944","3.869757","83.0","52.0","1.75","2014-04-22T16:34:05.181Z"
"16","43.614952","3.869814","80.9000015258789","73.0","0.25","2014-04-22T16:34:12.055Z"
"17","43.614986","3.86985","81.4000015258789","73.0","0.5","2014-04-22T16:34:17.129Z"
"18","43.615205","3.869739","88.69999694824219","350.0","0.0","2014-04-22T16:34:39.983Z"
"19","43.615225","3.869685","88.9000015258789","332.0","0.75","2014-04-22T16:34:45.002Z"
"20","43.615345","3.869604","89.0999984741211","323.0","0.75","2014-04-22T16:34:52.061Z"
"21","43.615467","3.869621","91.30000305175781","323.0","0.5","2014-04-22T16:35:05.101Z"
"22","43.615628","3.869529","96.5999984741211","347.0","0.75","2014-04-22T16:35:20.224Z"
"23","43.616038","3.869637","99.5999984741211","1.0","0.75","2014-04-22T16:35:48.053Z"
"24","43.616458","3.869486","77.0999984741211","341.0","0.75","2014-04-22T16:36:18.050Z"
"25","43.616756","3.869411","77.5","3.0","0.0","2014-04-22T16:36:44.992Z"
"26","43.616931","3.869502","79.0","3.0","0.5","2014-04-22T16:36:50.031Z"
"27","43.617271","3.869559","79.5999984741211","15.0","0.75","2014-04-22T16:37:10.174Z"
"28","43.617372","3.869486","81.4000015258789","355.0","0.0","2014-04-22T16:37:20.212Z"
"29","43.617642","3.869528","81.80000305175781","358.0","0.0","2014-04-22T16:37:44.969Z"
"30","43.617798","3.869619","81.19999694824219","18.0","1.5","2014-04-22T16:37:55.022Z"
"31","43.617887","3.869604","82.4000015258789","353.0","1.5","2014-04-22T16:38:01.919Z"
"32","43.618013","3.869557","88.0999984741211","344.0","0.75","2014-04-22T16:38:07.066Z"
"33","43.618064","3.86957","90.5999984741211","356.0","0.0","2014-04-22T16:38:15.097Z"
"34","43.61856","3.869676","87.5999984741211","0.0","0.0","2014-04-22T16:38:44.991Z"
"35","43.618532","3.869613","91.9000015258789","0.0","0.0","2014-04-22T16:38:50.037Z"
"36","43.618771","3.869472","97.5","324.0","0.0","2014-04-22T16:39:12.162Z"
"37","43.618829","3.869452","89.0","338.0","0.0","2014-04-22T16:39:20.270Z"
"38","43.618993","3.869511","87.80000305175781","6.0","1.25","2014-04-22T16:39:25.285Z"
"39","43.619135","3.869455","84.30000305175781","358.0","0.5","2014-04-22T16:39:48.054Z"
