"objectId","objectName","type","Description"
"131673","TramOccitanie-Maison","marche","De l'arrêt du tram à la maison en marchant"
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.634782","3.848422","111.5","41.0","1.0308","2014-04-22T16:52:13.115Z"
"2","43.634785","3.848417","109.19999694824219","41.0","1.118","2014-04-22T16:52:18.336Z"
"3","43.634885","3.84836","115.69999694824219","2.0","0.75","2014-04-22T16:52:27.375Z"
"4","43.635026","3.848275","105.19999694824219","341.0","1.5","2014-04-22T16:52:33.207Z"
"5","43.635119","3.848145","100.69999694824219","315.0","0.75","2014-04-22T16:52:43.276Z"
"6","43.635293","3.848087","101.19999694824219","16.0","1.25","2014-04-22T16:52:58.471Z"
"7","43.635415","3.847933","95.5999984741211","350.0","1.75","2014-04-22T16:53:07.709Z"
"8","43.6359","3.847757","96.80000305175781","88.0","0.75","2014-04-22T16:53:58.954Z"
"9","43.636252","3.847865","105.9000015258789","345.0","0.0","2014-04-22T16:54:22.766Z"
"10","43.636252","3.847865","105.9000015258789","345.0","0.0","2014-04-22T16:54:27.835Z"
"11","43.636343","3.847667","105.5999984741211","322.0","1.75","2014-04-22T16:54:32.896Z"
"12","43.636437","3.847705","106.19999694824219","342.0","1.25","2014-04-22T16:54:37.986Z"
"13","43.636504","3.847681","106.5999984741211","352.0","1.5","2014-04-22T16:54:43.025Z"
"14","43.636823","3.847518","110.4000015258789","338.0","1.25","2014-04-22T16:55:07.848Z"
"15","43.636977","3.847487","111.5","355.0","1.5","2014-04-22T16:55:14.274Z"
"16","43.637296","3.847322","110.5999984741211","331.0","1.5","2014-04-22T16:55:42.882Z"
