"objectId","objectName","type","Description"
"131670","Travail-FJT","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613606","3.868975","82.19999694824219","0.0","0.0","2014-04-18T10:43:55.959Z"
"2","43.613606","3.868975","82.19999694824219","0.0","0.0","2014-04-18T10:44:00.968Z"
"3","43.613592","3.868973","81.0999984741211","0.0","0.0","2014-04-18T10:44:16.057Z"
"4","43.613588","3.868978","81.5","112.0","0.0","2014-04-18T10:44:31.179Z"
"5","43.61328","3.868985","87.19999694824219","139.0","0.0","2014-04-18T10:44:36.030Z"
"6","43.61328","3.868985","87.19999694824219","139.0","0.0","2014-04-18T10:44:41.043Z"
"7","43.6132","3.869059","85.80000305175781","132.0","0.75","2014-04-18T10:44:46.076Z"
"8","43.6132","3.869059","85.80000305175781","132.0","0.75","2014-04-18T10:44:51.116Z"
"9","43.613046","3.869253","83.0","114.0","0.0","2014-04-18T10:44:56.162Z"
"10","43.613032","3.869322","84.0","114.0","0.75","2014-04-18T10:45:02.411Z"
"11","43.613089","3.869446","77.80000305175781","75.0","0.0","2014-04-18T10:45:10.382Z"
"12","43.613089","3.869446","77.80000305175781","75.0","0.0","2014-04-18T10:45:16.263Z"
"13","43.613077","3.869585","82.0","0.0","0.0","2014-04-18T10:45:21.333Z"
"14","43.61305","3.86965","84.19999694824219","0.0","0.0","2014-04-18T10:45:26.382Z"
"15","43.613039","3.869668","84.19999694824219","0.0","0.0","2014-04-18T10:45:31.419Z"
"16","43.613031","3.869666","85.0","0.0","0.0","2014-04-18T10:45:35.985Z"
"17","43.613033","3.869691","84.19999694824219","104.0","1.25","2014-04-18T10:45:42.473Z"
"18","43.612961","3.8701","92.4000015258789","105.0","1.25","2014-04-18T10:45:56.062Z"
"19","43.612858","3.87018","91.30000305175781","123.0","1.25","2014-04-18T10:46:01.129Z"
"20","43.612745","3.870435","89.5","106.0","1.25","2014-04-18T10:46:16.178Z"
