"objectId","objectName","type","Description"
"131672","11 Rue du Carré du Roi","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.61305","3.868913","131.89999389648438","244.0","2.6101","2014-04-24T16:32:26.738Z"
"2","43.613045","3.868829","102.0","0.0","0.0","2014-04-24T16:32:31.767Z"
"3","43.61305","3.868814","101.4000015258789","0.0","0.0","2014-04-24T16:32:36.842Z"
"4","43.613033","3.868796","108.9000015258789","0.0","0.0","2014-04-24T16:32:41.898Z"
"5","43.613037","3.868791","110.0999984741211","0.0","0.0","2014-04-24T16:32:52.118Z"
"6","43.613038","3.868782","109.0999984741211","277.0","0.0","2014-04-24T16:32:57.389Z"
"7","43.613369","3.868094","89.69999694824219","0.0","0.0","2014-04-24T16:33:54.478Z"
"8","43.613686","3.868488","88.30000305175781","50.0","1.25","2014-04-24T16:34:15.618Z"
"9","43.613783","3.868485","84.9000015258789","11.0","0.75","2014-04-24T16:34:25.734Z"
"10","43.613835","3.86851","86.5999984741211","30.0","0.0","2014-04-24T16:34:30.757Z"
"11","43.613968","3.868632","89.0999984741211","36.0","1.25","2014-04-24T16:34:45.888Z"
"12","43.614047","3.868674","87.80000305175781","38.0","0.0","2014-04-24T16:34:55.946Z"
"13","43.614285","3.868791","90.0","29.0","0.0","2014-04-24T16:35:20.738Z"
"14","43.614384","3.868971","89.9000015258789","37.0","0.0","2014-04-24T16:35:30.831Z"
"15","43.614466","3.86912","93.0999984741211","35.0","0.0","2014-04-24T16:35:45.940Z
"16","43.614529","3.869205","94.0","33.0","0.0","2014-04-24T16:35:56.082Z"
"17","43.614578","3.869261","92.4000015258789","32.0","1.25","2014-04-24T16:36:01.165Z"
"18","43.614637","3.86934","92.30000305175781","36.0","1.5","2014-04-24T16:36:06.275Z"
"19","43.614708","3.86946","93.19999694824219","45.0","1.5","2014-04-24T16:36:11.385Z"
"20","43.614928","3.869982","91.30000305175781","48.0","1.5","2014-04-24T16:36:45.898Z"
"21","43.614928","3.869982","91.30000305175781","48.0","1.5","2014-04-24T16:36:50.982Z"
"22","43.61531","3.869852","95.69999694824219","331.0","0.0","2014-04-24T16:37:14.625Z"
"23","43.61531","3.869852","95.69999694824219","331.0","0.0","2014-04-24T16:37:15.639Z"
"24","43.615382","3.86971","94.9000015258789","304.0","0.75","2014-04-24T16:37:25.715Z"
"25","43.615389","3.869693","94.9000015258789","304.0","0.5","2014-04-24T16:37:30.811Z"
"26","43.615412","3.869624","97.30000305175781","304.0","0.5","2014-04-24T16:37:35.904Z"
"27","43.615438","3.869597","97.30000305175781","304.0","0.75","2014-04-24T16:37:41.006Z"
"28","43.615605","3.869668","96.69999694824219","304.0","0.75","2014-04-24T16:38:01.300Z"
"29","43.616482","3.86945","94.30000305175781","333.0","0.75","2014-04-24T16:39:11.418Z"
"30","43.616513","3.869424","96.0","340.0","0.75","2014-04-24T16:39:15.701Z"
"31","43.616553","3.869393","95.4000015258789","340.0","0.75","2014-04-24T16:39:20.755Z"
"32","43.616858","3.869443","100.0","303.0","0.75","2014-04-24T16:39:56.084Z"
"33","43.616919","3.869469","98.80000305175781","6.0","0.75","2014-04-24T16:40:01.118Z"
"34","43.616957","3.869467","98.69999694824219","6.0","0.75","2014-04-24T16:40:06.177Z"
"35","43.617026","3.869456","98.4000015258789","6.0","0.75","2014-04-24T16:40:11.248Z"
"36","43.617224","3.869512","96.4000015258789","14.0","1.25","2014-04-24T16:40:20.754Z"
"37","43.617318","3.869544","96.19999694824219","21.0","0.75","2014-04-24T16:40:30.792Z"
"38","43.617455","3.869549","92.5","11.0","0.0","2014-04-24T16:40:36.580Z"
"39","43.617579","3.869598","91.4000015258789","34.0","0.0","2014-04-24T16:40:45.521Z"
"40","43.617731","3.869716","95.9000015258789","23.0","0.75","2014-04-24T16:41:08.529Z"
"41","43.617772","3.869732","96.0","19.0","0.0","2014-04-24T16:41:13.529Z"
"42","43.617772","3.869732","96.0","19.0","0.0","2014-04-24T16:41:15.726Z"
"43","43.617907","3.869714","91.69999694824219","350.0","0.0","2014-04-24T16:41:29.537Z"
"44","43.618515","3.86972","87.4000015258789","14.0","0.0","2014-04-24T16:42:20.818Z"
"45","43.618539","3.869687","87.4000015258789","357.0","0.0","2014-04-24T16:42:25.861Z"
"46","43.618585","3.869639","85.80000305175781","356.0","0.0","2014-04-24T16:42:30.913Z"
"47","43.618696","3.869599","86.19999694824219","357.0","1.25","2014-04-24T16:42:41.023Z"
"48","43.618806","3.869518","83.9000015258789","349.0","1.25","2014-04-24T16:42:51.155Z"
"49","43.61884","3.869511","82.0999984741211","354.0","0.0","2014-04-24T16:42:56.179Z"
"50","43.618865","3.869509","82.0999984741211","354.0","0.75","2014-04-24T16:43:01.290Z"
"51","43.618953","3.869505","87.0","354.0","0.5","2014-04-24T16:43:25.865Z"
"52","43.61901","3.869565","79.0999984741211","354.0","0.75","2014-04-24T16:43:30.886Z"
